Aamaas, B. (2025). Data from "Continued global warming from aviation even under high ambition mitigation scenarios". One Earth. https://doi.org/10.5281/zenodo.14276649

Year,CO2,NOx,BC,SO2,H2O
1940,32.43,132.83,0.45,11.9,12724.877
1941,35.03,146.38,0.5,13.19,13742.867
1942,37.83,148.2,0.51,13.34,14842.296
1943,40.86,166.12,0.57,15.05,16029.68
1944,44.13,202.09,0.7,18.23,17312.054
1945,47.66,204.78,0.72,18.83,18697.018
1946,51.47,216.48,0.75,19.67,20192.78
1947,55.59,238.81,0.82,21.56,21808.202
1948,60.03,266.03,0.92,24,23552.858
1949,64.84,260.92,0.89,23.27,25437.087
1950,70.02,312.92,1.05,27.41,27472.054
1951,75.63,343,1.14,29.86,29669.818
1952,81.68,362.52,1.2,31.48,32043.404
1953,88.21,382.95,1.27,33.2,34606.876
1954,95.27,402.14,1.32,34.6,37375.426
1955,102.89,444.58,1.45,38.08,40365.46
1956,111.12,480.8,1.56,40.84,43594.697
1957,120.01,498.57,1.6,41.92,47082.273
1958,129.61,527.53,1.68,43.95,50848.855
1959,139.98,555.91,1.76,46.14,54916.763
1960,151.18,593.57,1.85,48.68,59310.106
1961,165.87,647.12,2.01,52.78,65076.366
1962,182.67,708.87,2.21,57.9,71666.378
1963,192.75,755.96,2.34,61.41,75620.385
1964,201.57,805.7,2.47,64.97,79080.141
1965,215.43,859.38,2.64,69.2,84516.901
1966,233.48,938.97,2.87,75.31,91601.163
1967,275.48,1071.34,3.29,86.28,108076.19
1968,312.01,1204.31,3.7,97.09,122409.47
1969,326.71,1265.39,3.87,101.65,128175.73
1970,327.55,1313.27,3.99,104.69,128505.23
1971,337.26,1396.83,4.22,110.74,132315.61
1972,354.62,1459.68,4.4,115.66,139125.53
1973,367.02,1518.31,4.59,120.58,143991.53
1974,355.17,1446.04,4.42,116.07,139340.01
1975,355.44,1491.41,4.59,120.45,139449.11
1976,356.14,1475.28,4.55,120.07,139720.61
1977,377.44,1562.41,4.79,127.05,148080.22
1978,390.38,1603.83,4.93,131.37,153154.5
1979,403.96,1659.16,5.12,137.22,158482.92
1980,406.79,1653.06,5.13,138.25,159594.98
1981,399.9,1607.21,4.98,134.96,156892.33
1982,405.05,1612.65,4.99,135.87,158911.88
1983,411.9,1623.29,5.05,138.2,161597.17
1984,439.38,1716.04,5.38,148.08,172380.48
1985,453.27,1759.03,5.53,152.99,177827.92
1986,478.69,1856.31,5.8,161.14,187801.68
1987,500.7,1934.12,6.05,168.7,196435.27
1988,524.96,2016.5,6.32,177.09,205956.52
1989,546.65,2091.89,6.56,184.78,214464.89
1990,549.62,2110.88,6.63,187.41,215627.77
1991,531.52,2031.44,6.42,183.79,208528.99
1992,532.75,2047.93,6.49,184.38,209012.49
1993,535.66,2065.5,6.57,186.1,210153.06
1994,561.21,2149.81,6.88,194.34,220177.64
1995,574.88,2197.63,7.06,199.13,225538.3
1996,600.9,2296.51,7.38,208.19,235746.37
1997,619.19,2385.35,7.67,216.07,242924.5
1998,631.4,2439.97,7.84,220.67,247714.88
1999,651.77,2530.1,8.13,228.75,255705.04
2000,685.52,2634.66,8.48,238.65,268948.01
2001,659.41,2575.51,8.3,233.39,258701.51
2002,660.74,2614.83,8.38,234.83,259224.68
2003,660.33,2602.82,8.34,233.81,259062.27
2004,701.86,2774.3,8.88,248.53,275358.74
2005,736.36,2890.65,9.23,259.09,288891.8
2006,744.94,2936.78,9.35,260.81,292260.19
2007,766.58,3012.46,9.61,267.82,300747.49
2008,763.03,2999.09,9.51,264.64,299356.5
2009,723.59,2839.99,9,250.12,283881.99
2010,760.13,2985.06,9.46,263.06,298215.93
2011,782.67,3079.26,9.71,269.67,307060.28
2012,791.14,3120.6,9.84,273.42,310384.04
2013,813.63,3193.91,10.09,280.7,319206.07
2014,839.22,3300.77,10.43,290.09,329248.01
2015,885.06,3481.23,11.01,306.11,347229.29
2016,927.86,3646.71,11.55,329.11,364022.89
2017,982.61,3871.93,12.27,354,385500.24
2018,1030.16,3918,12.42,358.2,404157.18
2019,1045.96,3927.5,12.46,360.05,410355.91
2020,449.88,2115.16,4.27,119.59,176498.63
